 #Air Temperature Distribution
 #Number of hourly occurences
 #Temperatures degree Celsius top row (-30 to -25...-25 to -20,...
Month/Year,-30,-25,-20,-15,-10, -5,  0,  5, 10, 15, 20, 25, 30, 35, 40, 45
5/1979,  0,  0,  1,  0,  0,  0,  0,  5, 69,242,293,132,  2,  0,  0,  0
6/1979,  0,  0,  0,  0,  0,  0,  0,  0, 10, 90,306,289, 25,  0,  0,  0
7/1979,  0,  0,  0,  0,  0,  0,  0,  0,  3,  9,314,331, 87,  0,  0,  0
8/1979,  0,  0,  0,  0,  0,  0,  0,  0,  0, 21,294,348, 81,  0,  0,  0
9/1979,  0,  0,  0,  0,  0,  0,  0,  0, 47,155,318,195,  5,  0,  0,  0
10/1979,  0,  0,  0,  0,  0,  0,  9, 85,145,241,184, 80,  0,  0,  0,  0
11/1979,  0,  0,  0,  0,  0, 30,119,228,190,129, 24,  0,  0,  0,  0,  0
12/1979,  0,  0,  0,  0,  0, 84,179,209,184, 86,  2,  0,  0,  0,  0,  0
1/1980,  0,  0,  0,  0,  0, 45,165,216,218, 95,  5,  0,  0,  0,  0,  0
2/1980,  0,  0,  0,  0,  4,161,205,103,115, 81, 27,  0,  0,  0,  0,  0
3/1980,  0,  0,  0,  0, 20, 35, 70,115,278,173, 50,  3,  0,  0,  0,  0
4/1980,  0,  0,  0,  0,  0,  0,  4,100,214,246,140, 16,  0,  0,  0,  0
5/1980,  0,  0,  0,  0,  0,  0,  0,  7, 21,241,318,153,  4,  0,  0,  0
6/1980,  0,  0,  0,  0,  0,  0,  0,  0,  6, 75,251,302, 86,  0,  0,  0
7/1980,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,201,306,236,  1,  0,  0
8/1980,  0,  0,  0,  0,  0,  0,  0,  0,  0,  7,225,331,181,  0,  0,  0
9/1980,  0,  0,  0,  0,  0,  0,  0,  0,  0, 52,303,240,125,  0,  0,  0
10/1980,  0,  0,  0,  0,  0,  0, 24, 96,204,201,165, 54,  0,  0,  0,  0
11/1980,  0,  0,  0,  0,  0,  5,117,208,170,152, 62,  6,  0,  0,  0,  0
12/1980,  0,  0,  0,  0,  0, 99,183,200,159, 80, 23,  0,  0,  0,  0,  0
1/1981,  0,  0,  0,  0, 13,146,262,186, 98, 39,  0,  0,  0,  0,  0,  0
2/1981,  0,  0,  0,  0, 17, 93, 98,124,182,118, 40,  0,  0,  0,  0,  0
3/1981,  0,  0,  0,  0,  0,  4, 44,228,268,152, 40,  8,  0,  0,  0,  0
4/1981,  0,  0,  0,  0,  0,  0,  0, 12, 90,218,254,144,  2,  0,  0,  0
5/1981,  0,  0,  0,  0,  0,  0,  0,  6,100,226,263,135, 14,  0,  0,  0
6/1981,  0,  0,  0,  0,  0,  0,  0,  0,  0, 12,280,294,134,  0,  0,  0
7/1981,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,195,324,215, 10,  0,  0
8/1981,  0,  0,  0,  0,  0,  0,  0,  0,  0, 10,218,353,159,  4,  0,  0
9/1981,  0,  0,  0,  0,  0,  0,  0,  6, 40,119,279,217, 59,  0,  0,  0
10/1981,  0,  0,  0,  0,  0,  0, 13, 82,151,196,201, 88, 13,  0,  0,  0
11/1981,  0,  0,  0,  0,  0,  5, 41,115,198,227,119, 15,  0,  0,  0,  0
12/1981,  0,  0,  0,  0, 23, 53,201,235,151, 70, 11,  0,  0,  0,  0,  0
1/1982,  0,  0,  0, 20, 56,135,112,103,124,141, 53,  0,  0,  0,  0,  0
2/1982,  0,  0,  0,  0,  0, 56,169,194,152, 73, 28,  0,  0,  0,  0,  0
3/1982,  0,  0,  0,  0,  0,  7, 79,135,140,181,135, 67,  0,  0,  0,  0
4/1982,  0,  0,  0,  0,  0,  5, 24, 79,177,204,175, 56,  0,  0,  0,  0
5/1982,  0,  0,  0,  0,  0,  0,  0,  0, 42,166,289,221, 26,  0,  0,  0
6/1982,  0,  0,  0,  0,  0,  0,  0,  0,  0, 37,303,291, 89,  0,  0,  0
7/1982,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,221,415,108,  0,  0,  0
8/1982,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,259,381,104,  0,  0,  0
9/1982,  0,  0,  0,  0,  0,  0,  0,  6, 56,133,231,259, 35,  0,  0,  0
10/1982,  0,  0,  0,  0,  0,  0, 18, 77,145,179,235, 90,  0,  0,  0,  0
11/1982,  0,  0,  0,  0,  0, 19, 85,131,122,265, 92,  6,  0,  0,  0,  0
12/1982,  0,  0,  0,  0,  0, 53,125,147,179,174, 66,  0,  0,  0,  0,  0
1/1983,  0,  0,  0,  0,  0,118,246,217,123, 40,  0,  0,  0,  0,  0,  0
2/1983,  0,  0,  0,  0,  0, 46,171,207,177, 69,  2,  0,  0,  0,  0,  0
3/1983,  0,  0,  0,  0,  0, 17,118,208,237,122, 42,  0,  0,  0,  0,  0
4/1983,  0,  0,  0,  0,  0,  0, 37,140,209,201,114, 19,  0,  0,  0,  0
5/1983,  0,  0,  0,  0,  0,  0,  0,  4, 91,231,299,119,  0,  0,  0,  0
6/1983,  0,  0,  0,  0,  0,  0,  0,  0,  9, 58,420,227,  6,  0,  0,  0
7/1983,  0,  0,  0,  0,  0,  0,  0,  0,  0, 16,190,457, 81,  0,  0,  0
8/1983,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,193,443,108,  0,  0,  0
9/1983,  0,  0,  0,  0,  0,  0,  2, 18, 60,113,295,221, 11,  0,  0,  0
10/1983,  0,  0,  0,  0,  0,  0,  0, 39,148,254,231, 72,  0,  0,  0,  0
11/1983,  0,  0,  0,  0,  0, 11, 86,181,181,175, 78,  8,  0,  0,  0,  0
12/1983,  0,  0,  9, 58, 48,110,178,159,108, 54, 20,  0,  0,  0,  0,  0
