Master Curve Plot
Delta, 2.79204816117647
Alpha, 3.93193575
Beta, -1.09800829949263
Gamma, 0.313351
c, 1.255882
SSE, 0
Se/Sy, 0
log(Reduced Time(sec)), E* (psi), 14 oF, 40 oF, 70 oF, 100 oF, 130 oF
-5.38448470224561, 3129195.28696505, 3129195.28696505, , , , 
-4.98654469357357, 2931323.16494051, 2931323.16494051, , , , 
-3.98654469357357, 2403087.34168792, 2403087.34168792, , , , 
-3.68551469790959, 2238966.16861816, 2238966.16861816, , , , 
-3.96830953849043, 2393180.11767503, , 2393180.11767503, , , 
-3.57036952981839, 2176000.86393278, , 2176000.86393278, , , 
-2.57036952981839, 1636563.86991639, , 1636563.86991639, , , 
-2.26933953415441, 1481084.60174503, , 1481084.60174503, , , 
-1.39794000867204, 1065614.94409923, , , 1065614.94409923, , 
-1, 897939.047542452, , , 897939.047542452, , 
0, 550243.122114896, , , 550243.122114896, , 
0.301029995663981, 467053.009788443, , , 467053.009788443, , 
0.601661812634804, 393638.995937839, , , , 393638.995937839, 
0.999601821306842, 310561.161921353, , , , 310561.161921353, 
1.99960182130684, 163316.151731777, , , , 163316.151731777, 
2.30063181697082, 133159.143003671, , , , 133159.143003671, 
2.17838414685353, 144738.588605126, , , , , 144738.588605126
2.57632415552557, 110100.171820093, , , , , 110100.171820093
3.57632415552557, 54420.8998508347, , , , , 54420.8998508347
3.87735415118955, 43971.6445355801, , , , , 43971.6445355801
