 #Air Temperature Distribution
 #Number of hourly occurences
 #Temperatures degree Celsius top row (-30 to -25...-25 to -20,...
Month/Year,-30,-25,-20,-15,-10, -5,  0,  5, 10, 15, 20, 25, 30, 35, 40, 45
5/1979,  0,  0,  1,  0,  0,  0,  0, 38,123,244,249, 89,  0,  0,  0,  0
6/1979,  0,  0,  0,  0,  0,  0,  0,  0, 27,118,285,246, 44,  0,  0,  0
7/1979,  0,  0,  0,  0,  0,  0,  0,  0,  0, 46,287,328, 83,  0,  0,  0
8/1979,  0,  0,  0,  0,  0,  0,  0,  0,  0, 56,321,298, 69,  0,  0,  0
9/1979,  0,  0,  0,  0,  0,  0,  0, 27, 91,196,236,163,  7,  0,  0,  0
10/1979,  0,  0,  0,  0,  0,  3, 25,125,182,211,141, 57,  0,  0,  0,  0
11/1979,  0,  0,  0,  0,  0, 49,157,273,158, 76,  7,  0,  0,  0,  0,  0
12/1979,  0,  0,  0,  0, 21,168,227,213,103, 12,  0,  0,  0,  0,  0,  0
1/1980,  0,  0,  0,  0,  8,195,266,151,109, 15,  0,  0,  0,  0,  0,  0
2/1980,  0,  0,  0,  0, 62,286,165, 98, 57, 26,  2,  0,  0,  0,  0,  0
3/1980,  0,  0,  0,  1, 40, 51,114,263,195, 80,  0,  0,  0,  0,  0,  0
4/1980,  0,  0,  0,  0,  0,  0, 51,158,231,179, 79, 22,  0,  0,  0,  0
5/1980,  0,  0,  0,  0,  0,  0,  0, 16, 85,234,255,152,  2,  0,  0,  0
6/1980,  0,  0,  0,  0,  0,  0,  0,  0, 23, 64,223,252,158,  0,  0,  0
7/1980,  0,  0,  0,  0,  0,  0,  0,  0,  0,  8,200,222,182,132,  0,  0
8/1980,  0,  0,  0,  0,  0,  0,  0,  0,  1, 18,155,201,211,156,  2,  0
9/1980,  0,  0,  0,  0,  0,  0,  0,  0, 47,121,218,139,121, 74,  0,  0
10/1980,  0,  0,  0,  0,  0,  6, 45,151,223,174,110, 35,  0,  0,  0,  0
11/1980,  0,  0,  0,  0,  0, 33,191,215,153, 85, 41,  2,  0,  0,  0,  0
12/1980,  0,  0,  0,  0, 49,168,194,178,108, 39,  8,  0,  0,  0,  0,  0
1/1981,  0,  0,  0,  0, 50,289,222,130, 45,  8,  0,  0,  0,  0,  0,  0
2/1981,  0,  0,  0,  6, 35,137,116,147,137, 77, 17,  0,  0,  0,  0,  0
3/1981,  0,  0,  0,  0,  0, 27,124,278,207, 78, 28,  2,  0,  0,  0,  0
4/1981,  0,  0,  0,  0,  0,  0,  5, 46,123,247,191,108,  0,  0,  0,  0
5/1981,  0,  0,  0,  0,  0,  0,  0, 32,145,241,231, 95,  0,  0,  0,  0
6/1981,  0,  0,  0,  0,  0,  0,  0,  0,  2, 36,261,274,147,  0,  0,  0
7/1981,  0,  0,  0,  0,  0,  0,  0,  0,  0, 18,180,326,214,  6,  0,  0
8/1981,  0,  0,  0,  0,  0,  0,  0,  0,  0, 59,314,280, 91,  0,  0,  0
9/1981,  0,  0,  0,  0,  0,  0,  1, 26, 80,157,219,189, 48,  0,  0,  0
10/1981,  0,  0,  0,  0,  0, 12, 40,118,121,251,140, 42, 20,  0,  0,  0
11/1981,  0,  0,  0,  0,  0, 16, 82,204,205,173, 40,  0,  0,  0,  0,  0
12/1981,  0,  0,  0,  7, 41,125,265,224, 64, 17,  1,  0,  0,  0,  0,  0
1/1982,  0,  0, 36, 34, 81,212,157,147, 63, 14,  0,  0,  0,  0,  0,  0
2/1982,  0,  0,  0,  0, 48,207,169,135, 76, 32,  5,  0,  0,  0,  0,  0
3/1982,  0,  0,  0,  0,  0, 27,134,145,168,154, 92, 24,  0,  0,  0,  0
4/1982,  0,  0,  0,  0,  0, 16, 65,139,193,214, 81, 12,  0,  0,  0,  0
5/1982,  0,  0,  0,  0,  0,  0,  0,  0, 37,151,308,224, 24,  0,  0,  0
6/1982,  0,  0,  0,  0,  0,  0,  0,  0,  5, 96,311,270, 38,  0,  0,  0
7/1982,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,205,402,137,  0,  0,  0
8/1982,  0,  0,  0,  0,  0,  0,  0,  0,  0, 36,282,323,103,  0,  0,  0
9/1982,  0,  0,  0,  0,  0,  0,  0, 13, 99,152,242,181, 33,  0,  0,  0
10/1982,  0,  0,  0,  0,  0, 13, 55, 96,182,158,168, 67,  5,  0,  0,  0
11/1982,  0,  0,  0,  0,  0, 65,120,150,153,173, 53,  6,  0,  0,  0,  0
12/1982,  0,  0,  0,  0,  1,125,185,161,115,127, 27,  3,  0,  0,  0,  0
1/1983,  0,  0,  0,  0,  0,297,296,120, 31,  0,  0,  0,  0,  0,  0,  0
2/1983,  0,  0,  0,  0,  0,102,197,222,118, 33,  0,  0,  0,  0,  0,  0
3/1983,  0,  0,  0,  0,  0, 30,163,226,210, 89, 26,  0,  0,  0,  0,  0
4/1983,  0,  0,  0,  0,  0,  5, 63,213,230,129, 64, 16,  0,  0,  0,  0
5/1983,  0,  0,  0,  0,  0,  0,  0, 23,125,243,292, 61,  0,  0,  0,  0
6/1983,  0,  0,  0,  0,  0,  0,  0,  0,  5, 99,327,281,  8,  0,  0,  0
7/1983,  0,  0,  0,  0,  0,  0,  0,  0,  7, 21,138,381,197,  0,  0,  0
8/1983,  0,  0,  0,  0,  0,  0,  0,  0,  0, 22,214,276,214, 18,  0,  0
9/1983,  0,  0,  0,  0,  0,  0,  8, 37, 63,110,194,167,135,  6,  0,  0
10/1983,  0,  0,  0,  0,  0,  0,  8, 62,178,211,193, 85,  7,  0,  0,  0
11/1983,  0,  0,  0,  0,  0, 18,149,198,183,126, 42,  4,  0,  0,  0,  0
12/1983,  0,  0, 36, 79,126,153,166,123, 49, 12,  0,  0,  0,  0,  0,  0
1/1984,  0,  0,  0, 38, 79,367,184, 72,  4,  0,  0,  0,  0,  0,  0,  0
2/1984,  0,  0,  0,  0, 13,108,188,193,136, 52,  6,  0,  0,  0,  0,  0
3/1984,  0,  0,  0,  0,  0, 58,158,223,179,104, 22,  0,  0,  0,  0,  0
4/1984,  0,  0,  0,  0,  0,  0, 25,155,252,170, 91, 27,  0,  0,  0,  0
5/1984,  0,  0,  0,  0,  0,  0,  0, 48,146,224,240, 86,  0,  0,  0,  0
6/1984,  0,  0,  0,  0,  0,  0,  0,  1, 19, 50,229,315,106,  0,  0,  0
7/1984,  0,  0,  0,  0,  0,  0,  0,  0,  0, 57,234,342,111,  0,  0,  0
8/1984,  0,  0,  0,  0,  0,  0,  0,  0,  0, 44,328,302, 70,  0,  0,  0
9/1984,  0,  0,  0,  0,  0,  0,  0, 21,151,129,231,138, 50,  0,  0,  0
10/1984,  0,  0,  0,  0,  0,  0,  3, 28,143,222,286, 62,  0,  0,  0,  0
11/1984,  0,  0,  0,  0,  0, 56,156,236,163, 82, 22,  5,  0,  0,  0,  0
12/1984,  0,  0,  0,  0, 12,111,102,125,174,188, 32,  0,  0,  0,  0,  0
1/1985,  0,  0, 16, 27,103,450,117, 25,  6,  0,  0,  0,  0,  0,  0,  0
2/1985,  0,  0, 10, 34, 88,173,111,127, 89, 39,  1,  0,  0,  0,  0,  0
3/1985,  0,  0,  0,  0,  0,  8, 86,225,236,124, 56,  9,  0,  0,  0,  0
4/1985,  0,  0,  0,  0,  0,  3, 49, 55,181,217,171, 44,  0,  0,  0,  0
5/1985,  0,  0,  0,  0,  0,  0,  0,  4, 86,218,293,131, 12,  0,  0,  0
6/1985,  0,  0,  0,  0,  0,  0,  0,  0, 14, 79,248,265,114,  0,  0,  0
7/1985,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26,230,334,154,  0,  0,  0
8/1985,  0,  0,  0,  0,  0,  0,  0,  0,  0, 59,281,310, 94,  0,  0,  0
9/1985,  0,  0,  0,  0,  0,  0,  0, 22, 89,195,201,170, 43,  0,  0,  0
10/1985,  0,  0,  0,  0,  0,  0, 20, 69,139,183,236, 95,  2,  0,  0,  0
11/1985,  0,  0,  0,  0,  0,  6, 62,124,225,199, 88, 16,  0,  0,  0,  0
12/1985,  0,  0,  0,  0, 92,285,172,120, 50, 21,  4,  0,  0,  0,  0,  0
1/1986,  0,  0,  0,  4, 50,251,198,173, 62,  6,  0,  0,  0,  0,  0,  0
2/1986,  0,  0,  0,  0, 38,118,123,139,136, 91, 26,  1,  0,  0,  0,  0
3/1986,  0,  0,  0,  0,  0, 57, 83,181,197,146, 72,  8,  0,  0,  0,  0
4/1986,  0,  0,  0,  0,  0,  0, 20,102,202,188,158, 50,  0,  0,  0,  0
5/1986,  0,  0,  0,  0,  0,  0,  0, 23, 53,169,299,196,  4,  0,  0,  0
6/1986,  0,  0,  0,  0,  0,  0,  0,  0,  0, 22,248,341,109,  0,  0,  0
7/1986,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,172,266,256, 49,  1,  0
8/1986,  0,  0,  0,  0,  0,  0,  0,  4, 19, 80,233,254,148,  6,  0,  0
9/1986,  0,  0,  0,  0,  0,  0,  0,  0, 28, 64,177,270,178,  3,  0,  0
10/1986,  0,  0,  0,  0,  0,  0,  0, 34,216,268,146, 50, 30,  0,  0,  0
11/1986,  0,  0,  0,  0,  4, 45, 84,203,237,137, 10,  0,  0,  0,  0,  0
12/1986,  0,  0,  0,  0,  0,108,308,243, 77,  8,  0,  0,  0,  0,  0,  0
1/1987,  0,  0,  0,  0, 11,218,315,156, 38,  6,  0,  0,  0,  0,  0,  0
2/1987,  0,  0,  0,  0,  0, 89,191,247,126, 19,  0,  0,  0,  0,  0,  0
3/1987,  0,  0,  0,  0,  0, 16,131,190,247,123, 37,  0,  0,  0,  0,  0
4/1987,  0,  0,  0,  0,  0, 16, 51,116,196,178,114, 47,  2,  0,  0,  0
5/1987,  0,  0,  0,  0,  0,  0,  0,  0, 26, 88,354,260, 16,  0,  0,  0
6/1987,  0,  0,  0,  0,  0,  0,  0,  0,  7, 54,262,343, 54,  0,  0,  0
7/1987,  0,  0,  0,  0,  0,  0,  0,  0,  0, 27,219,328,170,  0,  0,  0
8/1987,  0,  0,  0,  0,  0,  0,  0,  0,  0, 45,185,318,192,  4,  0,  0
