Master Curve Plot
Delta, 2.79204816117647
Alpha, 3.93193575
Beta, -1.00768514689259
Gamma, 0.313351
c, 1.255882
SSE, 0
Se/Sy, 0
log(Reduced Time(sec)), E* (psi), 14 oF, 40 oF, 70 oF, 100 oF, 130 oF
-5.67273374306984, 3129195.24445288, 3129195.24445288, , , , 
-5.2747937343978, 2931323.12051635, 2931323.12051635, , , , 
-4.2747937343978, 2403087.29417926, 2403087.29417926, , , , 
-3.97376373873382, 2238966.1208048, 2238966.1208048, , , , 
-4.11112292438801, 2313982.44201327, , 2313982.44201327, , , 
-3.71318291571598, 2096475.94470268, , 2096475.94470268, , , 
-2.71318291571598, 1560847.05450595, , 1560847.05450595, , , 
-2.41215292005199, 1407838.0110672, , 1407838.0110672, , , 
-1.39794000867204, 942590.971527828, , , 942590.971527828, , 
-1, 786570.294927601, , , 786570.294927601, , 
0, 470385.670771893, , , 470385.670771893, , 
0.301029995663981, 396477.150797899, , , 396477.150797899, , 
0.682527386471418, 316063.90202224, , , , 316063.90202224, 
1.08046739514346, 246752.096544899, , , , 246752.096544899, 
2.08046739514346, 127083.247922102, , , , 127083.247922102, 
2.38149739080744, 103170.143367437, , , , 103170.143367437, 
2.30077208176411, 109133.340971881, , , , , 109133.340971881
2.69871209043615, 82594.6911635078, , , , , 82594.6911635078
3.69871209043615, 40697.1384628276, , , , , 40697.1384628276
3.99974208610013, 32943.1106400943, , , , , 32943.1106400943
