 #Air Temperature Distribution
 #Number of hourly occurences
 #Temperatures degree Celsius top row (-30 to -25...-25 to -20,...
Month/Year,-30,-25,-20,-15,-10, -5,  0,  5, 10, 15, 20, 25, 30, 35, 40, 45
5/1979,  0,  0,  1,  0,  0,  0,  0,  5, 35,156,353,194,  0,  0,  0,  0
6/1979,  0,  0,  0,  0,  0,  0,  0,  0,  7, 23,305,337, 48,  0,  0,  0
7/1979,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,156,463,125,  0,  0,  0
8/1979,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,188,439,117,  0,  0,  0
9/1979,  0,  0,  0,  0,  0,  0,  0,  0,  2, 93,331,285,  9,  0,  0,  0
10/1979,  0,  0,  0,  0,  0,  0,  0, 43, 98,205,277,121,  0,  0,  0,  0
11/1979,  0,  0,  0,  0,  0, 10, 66,125,223,217, 79,  0,  0,  0,  0,  0
12/1979,  0,  0,  0,  0,  0, 30,113,201,214,162, 24,  0,  0,  0,  0,  0
1/1980,  0,  0,  0,  0,  0, 13, 68,153,264,209, 37,  0,  0,  0,  0,  0
2/1980,  0,  0,  0,  0,  0, 71,136,158,149,130, 48,  4,  0,  0,  0,  0
3/1980,  0,  0,  0,  0,  9, 25, 27, 85,162,287,138, 11,  0,  0,  0,  0
4/1980,  0,  0,  0,  0,  0,  0,  0, 44,145,295,193, 43,  0,  0,  0,  0
5/1980,  0,  0,  0,  0,  0,  0,  0,  0, 10, 96,405,223, 10,  0,  0,  0
6/1980,  0,  0,  0,  0,  0,  0,  0,  0,  0, 24,216,382, 98,  0,  0,  0
7/1980,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 89,441,200, 14,  0,  0
8/1980,  0,  0,  0,  0,  0,  0,  0,  0,  0,  4,145,424,167,  4,  0,  0
9/1980,  0,  0,  0,  0,  0,  0,  0,  0,  0,  2,282,338, 98,  0,  0,  0
10/1980,  0,  0,  0,  0,  0,  0,  3, 56,141,210,255, 79,  0,  0,  0,  0
11/1980,  0,  0,  0,  0,  0,  0, 55,160,174,204,120,  7,  0,  0,  0,  0
12/1980,  0,  0,  0,  0,  0, 36,141,167,213,145, 42,  0,  0,  0,  0,  0
1/1981,  0,  0,  0,  0,  0, 94,171,249,163, 57, 10,  0,  0,  0,  0,  0
2/1981,  0,  0,  0,  0,  0, 43, 92,120,213,146, 58,  0,  0,  0,  0,  0
3/1981,  0,  0,  0,  0,  0,  0, 16,126,287,216, 92,  7,  0,  0,  0,  0
4/1981,  0,  0,  0,  0,  0,  0,  0,  6, 33,273,247,157,  4,  0,  0,  0
5/1981,  0,  0,  0,  0,  0,  0,  0,  0, 43,187,333,164, 17,  0,  0,  0
6/1981,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,244,368,108,  0,  0,  0
7/1981,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 91,430,217,  6,  0,  0
8/1981,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,134,520, 90,  0,  0,  0
9/1981,  0,  0,  0,  0,  0,  0,  0,  4, 21, 65,283,320, 27,  0,  0,  0
10/1981,  0,  0,  0,  0,  0,  0,  0, 40, 96,177,293,128, 10,  0,  0,  0
11/1981,  0,  0,  0,  0,  0,  4, 15, 70,152,275,192, 12,  0,  0,  0,  0
12/1981,  0,  0,  0,  0,  0, 41, 83,184,239,168, 29,  0,  0,  0,  0,  0
1/1982,  0,  0,  0,  5, 19, 80, 94,105,158,209, 74,  0,  0,  0,  0,  0
2/1982,  0,  0,  0,  0,  0, 13, 42,159,209,185, 64,  0,  0,  0,  0,  0
3/1982,  0,  0,  0,  0,  0,  2, 19,117,125,258,169, 54,  0,  0,  0,  0
4/1982,  0,  0,  0,  0,  0,  0,  7, 29,116,248,239, 80,  1,  0,  0,  0
5/1982,  0,  0,  0,  0,  0,  0,  0,  0,  7,170,320,233, 14,  0,  0,  0
6/1982,  0,  0,  0,  0,  0,  0,  0,  0,  0,  7,169,418,126,  0,  0,  0
7/1982,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 74,580, 90,  0,  0,  0
8/1982,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,132,511,101,  0,  0,  0
9/1982,  0,  0,  0,  0,  0,  0,  0,  5, 22, 83,234,346, 30,  0,  0,  0
10/1982,  0,  0,  0,  0,  0,  0,  2, 34, 96,155,319,130,  8,  0,  0,  0
11/1982,  0,  0,  0,  0,  0,  0, 50, 77,151,269,168,  5,  0,  0,  0,  0
12/1982,  0,  0,  0,  0,  0, 13, 71,138,151,255,114,  2,  0,  0,  0,  0
1/1983,  0,  0,  0,  0,  0, 25,130,262,223, 89, 15,  0,  0,  0,  0,  0
2/1983,  0,  0,  0,  0,  0,  0, 70,191,237,160, 14,  0,  0,  0,  0,  0
3/1983,  0,  0,  0,  0,  0,  5, 55,155,282,177, 66,  4,  0,  0,  0,  0
4/1983,  0,  0,  0,  0,  0,  0,  8, 75,206,275,135, 21,  0,  0,  0,  0
5/1983,  0,  0,  0,  0,  0,  0,  0,  0, 37,198,314,195,  0,  0,  0,  0
6/1983,  0,  0,  0,  0,  0,  0,  0,  0,  0, 19,377,317,  7,  0,  0,  0
7/1983,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,142,459,143,  0,  0,  0
8/1983,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,115,511,118,  0,  0,  0
9/1983,  0,  0,  0,  0,  0,  0,  0, 11, 39, 90,284,270, 26,  0,  0,  0
10/1983,  0,  0,  0,  0,  0,  0,  0, 16, 97,211,309,111,  0,  0,  0,  0
11/1983,  0,  0,  0,  0,  0,  0, 29,111,167,266,136, 11,  0,  0,  0,  0
