Master Curve Plot
Delta, 2.75034494827586
Alpha, 3.820652
Beta, -1.1814778362318
Gamma, 0.313351
c, 1.255882
SSE, 0
Se/Sy, 0
log(Reduced Time(sec)), E* (psi), 14 oF, 40 oF, 70 oF, 100 oF, 130 oF
-5.11810766368444, 2233131.45797877, 2233131.45797877, , , , 
-4.7201676550124, 2095792.28055205, 2095792.28055205, , , , 
-3.7201676550124, 1727811.80520038, 1727811.80520038, , , , 
-3.41913765934842, 1613035.49544668, 1613035.49544668, , , , 
-3.84380369322931, 1774605.92824438, , 1774605.92824438, , , 
-3.44586368455728, 1623260.26366437, , 1623260.26366437, , , 
-2.44586368455728, 1242346.89162954, , 1242346.89162954, , , 
-2.14483368889329, 1131020.34283637, , 1131020.34283637, , , 
-1.39794000867204, 870072.896123304, , , 870072.896123304, , 
-1, 743123.416410273, , , 743123.416410273, , 
0, 472018.615258071, , , 472018.615258071, , 
0.301029995663981, 405134.307371808, , , 405134.307371808, , 
0.528509098038368, 359204.794640421, , , , 359204.794640421, 
0.926449106710405, 288199.405144234, , , , 288199.405144234, 
1.92644910671041, 157661.636894721, , , , 157661.636894721, 
2.22747910237439, 129926.125847235, , , , 129926.125847235, 
2.06544881166069, 144271.799220515, , , , , 144271.799220515
2.46338882033272, 111301.465686419, , , , , 111301.465686419
3.46338882033272, 56559.7272246885, , , , , 56559.7272246885
3.7644188159967, 45970.5275399591, , , , , 45970.5275399591
